アイテムID,日本語アイテム名,ワールド名,UNIXタイムスタンプ,取引日時(JST),単価(Gil),数量,合計金額(Gil),HQフラグ,購入者名
52295,演技教本:後ろを振り返る,Belias,1786002318,2026-08-06 16:45:18,1798000,1,1798000,NQ,Momo Touka
50971,包丁強化用グリップ材,Masamune,1786002139,2026-08-06 16:42:19,27000,1,27000,NQ,Yun Ru
46857,人造ダークマターγ,Hades,1786002027,2026-08-06 16:40:27,80870,1,80870,NQ,Aosagi April
52440,ヘアカタログ:ブレイドバン,Pandaemonium,1786001923,2026-08-06 16:38:43,1100000,1,1100000,NQ,Hikari Cielo
52440,ヘアカタログ:ブレイドバン,Pandaemonium,1786001906,2026-08-06 16:38:26,1100000,1,1100000,NQ,Pepe Rocino
52440,ヘアカタログ:ブレイドバン,Pandaemonium,1786001897,2026-08-06 16:38:17,1100000,1,1100000,NQ,Arya Pearl
52440,ヘアカタログ:ブレイドバン,Pandaemonium,1786001891,2026-08-06 16:38:11,1000000,1,1000000,NQ,Arya Pearl
46185,古ぼけた地図G18,Anima,1786001838,2026-08-06 16:37:18,29900,1,29900,NQ,Chalon Kuze
20675,ザザムシ,Chocobo,1786001789,2026-08-06 16:36:29,98,99,9702,NQ,Ruu Pan
42476,カザナル・ディフェンダーガントレット,Carbuncle,1786001787,2026-08-06 16:36:27,30000,1,30000,HQ,Dreamer Lufkin
5059,コバルトインゴット,Yojimbo,1786001784,2026-08-06 16:36:24,693,1,693,HQ,Raen Highwind
49827,クレセントマギ・ファイターネックレス,Pandaemonium,1786001774,2026-08-06 16:36:14,32499999,1,32499999,NQ,Chacha Ru
52440,ヘアカタログ:ブレイドバン,Pandaemonium,1786001758,2026-08-06 16:35:58,1000000,1,1000000,NQ,Waltz Weller
13,ウォータークリスタル,Anima,1786001651,2026-08-06 16:34:11,34,4680,159120,NQ,Touma Kisaragi
49835,クレセントマギ・マスターソーサラーリング,Asura,1786001647,2026-08-06 16:34:07,25000,1,25000,NQ,Akine Hiiragi
