アイテムID,日本語アイテム名,ワールド名,出品単価(Gil),出品数量,HQ,リテイナー名,合計価格(Gil)
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,HQ,Rufh,197998
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,HQ,Hdfhtjh,197998
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,HQ,Hdfhtjh,197998
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,HQ,Hdfhtjh,197998
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197999,1,HQ,Ewtsg,197999
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197999,1,HQ,Ewtsg,197999
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197999,1,HQ,Ewtsg,197999
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,HQ,Pleats,198000
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,HQ,Pleats,198000
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,HQ,Pleats,198000
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,HQ,Pleats,198000
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198100,1,HQ,Rarecheese,198100
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198388,1,HQ,Thirteen,198388
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,229999,1,HQ,Minichi,229999
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,260700,1,HQ,Yashio,260700
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,520000,1,HQ,Laia'mi,520000
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,520000,1,HQ,Laia'mi,520000
9737,ナルザルオーダー・ポディウム,Chocobo,338,1,NQ,Nullpointer',338
9737,ナルザルオーダー・ポディウム,Chocobo,338,1,NQ,Turii-rhei,338
9737,ナルザルオーダー・ポディウム,Chocobo,340,1,NQ,Libra'',340
9737,ナルザルオーダー・ポディウム,Chocobo,340,1,NQ,Karliea,340
9737,ナルザルオーダー・ポディウム,Chocobo,359,1,NQ,Lovelass,359
9737,ナルザルオーダー・ポディウム,Chocobo,359,1,NQ,Lovelass,359
9737,ナルザルオーダー・ポディウム,Chocobo,360,1,NQ,Roots-ten,360
9737,ナルザルオーダー・ポディウム,Chocobo,450,1,NQ,Rabicchuu,450
9737,ナルザルオーダー・ポディウム,Chocobo,450,1,NQ,Dagas,450
9737,ナルザルオーダー・ポディウム,Chocobo,450,1,NQ,Dagas,450
9737,ナルザルオーダー・ポディウム,Chocobo,560,1,NQ,Evia,560
9737,ナルザルオーダー・ポディウム,Chocobo,650,1,NQ,Zabdak,650
9737,ナルザルオーダー・ポディウム,Chocobo,660,1,NQ,Akubi-,660
9737,ナルザルオーダー・ポディウム,Chocobo,750,1,NQ,Leblac,750
9737,ナルザルオーダー・ポディウム,Chocobo,760,1,NQ,Asdtan,760
9737,ナルザルオーダー・ポディウム,Chocobo,800,1,NQ,Rutilant,800
9737,ナルザルオーダー・ポディウム,Chocobo,800,1,NQ,Seanleepee,800
9737,ナルザルオーダー・ポディウム,Chocobo,1060,1,NQ,Tianlei,1060
9737,ナルザルオーダー・ポディウム,Chocobo,1380,1,NQ,X-three,1380
9737,ナルザルオーダー・ポディウム,Chocobo,2060,1,NQ,Eretre,2060
9737,ナルザルオーダー・ポディウム,Chocobo,3900,1,NQ,Tiyanday,3900
9737,ナルザルオーダー・ポディウム,Chocobo,4000,1,NQ,Llddk,4000
9737,ナルザルオーダー・ポディウム,Chocobo,24000,1,NQ,Rokuzero,24000
9737,ナルザルオーダー・ポディウム,Chocobo,1000060,1,NQ,Nanacchi,1000060
23888,ガラスボトルセット,Chocobo,66000,1,NQ,Kururuchan,66000
23888,ガラスボトルセット,Chocobo,100000,1,NQ,Arutairu,100000
23888,ガラスボトルセット,Chocobo,900000,1,NQ,Aqua-pazza,900000
46102,キャビンズ・ソファ,Chocobo,740000,1,NQ,Nakky,740000
46102,キャビンズ・ソファ,Chocobo,750000,1,NQ,Bayonetta,750000
12551,ラリマール原石,Chocobo,209,99,NQ,Amesoeurs,20691
12551,ラリマール原石,Chocobo,339,99,NQ,Amesoeurs,33561
12551,ラリマール原石,Chocobo,339,99,NQ,Amesoeurs,33561
12551,ラリマール原石,Chocobo,369,99,NQ,Amesoeurs,36531
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Amesoeurs,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Amesoeurs,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Amesoeurs,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Amesoeurs,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Amesoeurs,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Amesoeurs,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Amesoeurs,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
12551,ラリマール原石,Chocobo,399,99,NQ,Rodeotandem,39501
