アイテムID,日本語アイテム名,ワールド名,出品単価(Gil),出品数量,合計価格(Gil),HQフラグ,リテイナー名,出品都市,リテイナーID,セラーID,染色ID,マネキン出品,装着マテリア情報,最終確認タイムスタンプ
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,197998,HQ,Rufh,リムサ・ロミンサ,33776997240768606,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,197998,HQ,Hdfhtjh,ウルダハ,33776997240768620,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,197998,HQ,Hdfhtjh,ウルダハ,33776997240768620,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197998,1,197998,HQ,Hdfhtjh,ウルダハ,33776997240768620,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197999,1,197999,HQ,Ewtsg,リムサ・ロミンサ,33776997240767388,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197999,1,197999,HQ,Ewtsg,リムサ・ロミンサ,33776997240767388,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,197999,1,197999,HQ,Ewtsg,リムサ・ロミンサ,33776997240767388,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,198000,HQ,Pleats,ウルダハ,33776997240621439,,0,いいえ,なし,1785993390
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,198000,HQ,Pleats,ウルダハ,33776997240621439,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,198000,HQ,Pleats,ウルダハ,33776997240621439,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198000,1,198000,HQ,Pleats,ウルダハ,33776997240621439,,0,いいえ,なし,1785993389
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198100,1,198100,HQ,Rarecheese,オールド・シャーレアン,33776997236072223,,0,いいえ,なし,1785993390
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,198388,1,198388,HQ,Thirteen,ウルダハ,33776997235602669,,0,いいえ,なし,1785993390
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,229999,1,229999,HQ,Minichi,リムサ・ロミンサ,33776997235864958,,0,いいえ,なし,1785993390
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,260700,1,260700,HQ,Yashio,グリダニア,33776997236895736,,0,いいえ,なし,1785993390
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,520000,1,520000,HQ,Laia'mi,ウルダハ,33776997240296637,,0,いいえ,"[{""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}]",1785993390
49304,コートリーラヴァー・キャスターパンタロン,Chocobo,520000,1,520000,HQ,Laia'mi,ウルダハ,33776997240296637,,0,いいえ,"[{""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}]",1785993390
9737,ナルザルオーダー・ポディウム,Chocobo,338,1,338,NQ,Nullpointer',リムサ・ロミンサ,33776997236783076,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,338,1,338,NQ,Turii-rhei,ウルダハ,33776997241174689,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,340,1,340,NQ,Libra'',グリダニア,33776997239594108,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,340,1,340,NQ,Karliea,クガネ,33776997239665724,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,359,1,359,NQ,Lovelass,リムサ・ロミンサ,33776997239352364,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,359,1,359,NQ,Lovelass,リムサ・ロミンサ,33776997239352364,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,360,1,360,NQ,Roots-ten,ウルダハ,33776997240477758,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,450,1,450,NQ,Rabicchuu,グリダニア,33776997241162604,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,450,1,450,NQ,Dagas,イシュガルド,33776997239747590,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,450,1,450,NQ,Dagas,イシュガルド,33776997239747590,,0,いいえ,なし,1785771994
9737,ナルザルオーダー・ポディウム,Chocobo,560,1,560,NQ,Evia,ウルダハ,33776997238755225,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,650,1,650,NQ,Zabdak,リムサ・ロミンサ,33776997240858765,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,660,1,660,NQ,Akubi-,リムサ・ロミンサ,33776997240779640,,0,いいえ,なし,1785771995
