アイテムID,日本語アイテム名,ワールド名,データセンター,最新最安単価(Gil),最新平均単価(Gil),最新最高単価(Gil),現在在庫数(個),出品数(件),API日当速度(個/日),最終更新日時
3870,オークパッテン,Carbuncle,Elemental,10000,15933.3,19000,3,3,0.0,2026-08-06T07:36:59Z
33285,モーグリビューロー,Carbuncle,Elemental,350,1670.0,4500,12,12,0.0,2026-08-06T07:36:59Z
4812,ピクシープラム,Carbuncle,Elemental,240,245.0,250,2,2,0.0,2026-08-06T07:36:59Z
5174,ラピスラズリ,Carbuncle,Elemental,80,268.4,1000,62,14,0.0,2026-08-06T07:36:59Z
52289,アンティーク・ランタン,Carbuncle,Elemental,1380000,2782356.2,12000000,154,154,0.7,2026-08-06T07:36:59Z
45972,コチニール染料,Carbuncle,Elemental,1700,9426.5,100005,662,13,18.7,2026-08-06T07:36:59Z
13708,カララント:パステルピンク,Carbuncle,Elemental,20000,35413.8,60000,128,100,0.9,2026-08-06T07:36:59Z
52264,クワイエット・コリブリ・ホイッスル,Carbuncle,Elemental,1995000,4650357.0,25000000,182,182,0.7,2026-08-06T07:36:59Z
5545,トリリウム,Carbuncle,Elemental,380,443.3,500,49,3,0.0,2026-08-06T07:36:59Z
36249,サイガレザー,Carbuncle,Elemental,800,60229.1,500000,269,17,3.0,2026-08-06T07:36:59Z
37786,リナシータ・スカウトサバトン,Carbuncle,Elemental,0,0.0,0,0,0,0.0,2026-08-06T07:36:59Z
39494,クリュソマロスホルン,Carbuncle,Elemental,0,0.0,0,0,0,0.0,2026-08-06T07:36:59Z
46068,セレモニアル・アタッカーイヤリング,Carbuncle,Elemental,20000,1688000.0,10000000,6,6,0.1,2026-08-06T07:36:59Z
48096,フォーチュンカロット,Carbuncle,Elemental,3009000,5093541.0,100000004,90,79,0.7,2026-08-06T07:36:59Z
49275,コートリーラヴァー・ディフェンダーブーツ,Carbuncle,Elemental,320427,330284.7,350000,3,3,0.7,2026-08-06T07:36:59Z
5359,チョコボの羽根,Carbuncle,Elemental,230,167000080.0,499999999,16,3,0.0,2026-08-06T07:36:59Z
44045,眼力の宝水,Carbuncle,Elemental,1000,2559.4,5036,216,33,1.6,2026-08-06T07:36:59Z
49831,クレセントマギ・ソーサラーイヤリング,Carbuncle,Elemental,14500000,31743334.0,100000000,6,6,0.7,2026-08-06T07:36:59Z
49305,コートリーラヴァー・キャスターシューズ,Carbuncle,Elemental,180409,200944.8,369000,13,13,0.7,2026-08-06T07:36:59Z
51282,翼竜の化石標本,Carbuncle,Elemental,99,104171.5,1800000,36,36,0.7,2026-08-06T07:36:59Z
36611,古ぼけた地図G13,Carbuncle,Elemental,29800,80613.8,100000,16,16,0.7,2026-08-06T07:36:59Z
51957,トルナ・チュニック,Carbuncle,Elemental,500000,1027500.0,2300000,8,8,0.7,2026-08-06T07:36:59Z
51257,エバーキープ・ラウンドソファ,Carbuncle,Elemental,65998,67565.7,68000,6,6,0.0,2026-08-06T07:36:59Z
11,アースクリスタル,Carbuncle,Elemental,30,30.0,30,294000,98,2142.9,2026-08-06T07:36:59Z
15945,ピレトリン,Carbuncle,Elemental,5,1744.3,12001,48,27,0.4,2026-08-06T07:36:59Z
23349,静魔薬,Carbuncle,Elemental,799,799.0,799,99,1,0.0,2026-08-06T07:36:59Z
49227,トライヨラの染料,Carbuncle,Elemental,4500,20278.3,200000,593,25,15.7,2026-08-06T07:36:59Z
47185,ピーコック・クラフターシャツ,Carbuncle,Elemental,340000,926755.2,2100000,4,4,0.7,2026-08-06T07:36:59Z
52276,カプリーヌ,Carbuncle,Elemental,40055,398338.8,7790000,47,47,0.7,2026-08-06T07:36:59Z
27717,虹結晶材,Carbuncle,Elemental,1100,2676.8,13000,37,27,0.9,2026-08-06T07:36:59Z
33656,フロンティアジャケット,Carbuncle,Elemental,450,24033.0,200000,40,40,0.7,2026-08-06T07:36:59Z
5064,シルバーインゴット,Carbuncle,Elemental,699,1226.2,2001,163,16,17.9,2026-08-06T07:36:59Z
30112,演技教本:主張する,Carbuncle,Elemental,32000,71156.4,500000,16,16,0.3,2026-08-06T07:36:59Z
47191,ピーコック・ギャザラーグローブ,Carbuncle,Elemental,360429,969930.0,2100000,9,9,0.7,2026-08-06T07:36:59Z
43987,メスキート豆,Carbuncle,Elemental,160,2252472.2,13513513,237,6,11.1,2026-08-06T07:36:59Z
47701,ウルトラポーション,Carbuncle,Elemental,170,601.3,1370,1259,21,70.7,2026-08-06T07:36:59Z
51283,クレセント・ストーンピラー,Carbuncle,Elemental,300,164807.3,2000000,59,59,0.7,2026-08-06T07:36:59Z
32937,クチナシ染め布,Carbuncle,Elemental,7200,7516.5,7900,8,6,0.0,2026-08-06T07:36:59Z
7022,スチールフィッティング,Carbuncle,Elemental,1600,4050.3,15002,325,6,70.7,2026-08-06T07:36:59Z
24257,眼力の霊水G4,Carbuncle,Elemental,150,664.8,5000,21,12,0.0,2026-08-06T07:36:59Z
27721,ダイアスポア,Carbuncle,Elemental,410,1952.5,10000,42,11,0.0,2026-08-06T07:36:59Z
50435,コスモフェイス認証鍵,Carbuncle,Elemental,2200000,2598567.0,3999979,154,154,0.6,2026-08-06T07:36:59Z
3771,ハードレザーシューズ,Carbuncle,Elemental,2495,10600.0,30000,5,5,0.0,2026-08-06T07:36:59Z
18362,タイガーディフェンダーコート,Carbuncle,Elemental,27000,28500.0,30000,2,2,0.0,2026-08-06T07:36:59Z
2585,ラグワーム,Carbuncle,Elemental,1,829863.1,14925373,1399,18,0.0,2026-08-06T07:36:59Z
5673,武略のマテリジャ,Carbuncle,Elemental,120,679.9,1500,32,9,2.7,2026-08-06T07:36:59Z
4782,ラノシアレタス,Carbuncle,Elemental,40,57.8,91,263,4,0.0,2026-08-06T07:36:59Z
23892,グリーンパーティション,Carbuncle,Elemental,8000,56872.7,180000,100,100,0.7,2026-08-06T07:36:59Z
6161,嵐神ガルーダの羽根,Carbuncle,Elemental,1010,27726.2,200010,29,8,1.4,2026-08-06T07:36:59Z
46040,セレモニアル・スレイヤーホーズ,Carbuncle,Elemental,19715,4298592.0,10000000,7,7,0.0,2026-08-06T07:36:59Z
50447,ノーブル・マジックカーペット,Carbuncle,Elemental,9550000,14264000.0,23000000,56,56,0.6,2026-08-06T07:36:59Z
32802,カーフスキン・ライダースシューズ,Carbuncle,Elemental,35000,135039.5,600001,25,25,0.7,2026-08-06T07:36:59Z
14172,眼力の錬金溶剤G3,Carbuncle,Elemental,424,570.3,800,14,7,0.0,2026-08-06T07:36:59Z
41494,サボテンダー・デラ・ルナホイッスル,Carbuncle,Elemental,7000000,7933333.5,9000000,36,36,0.0,2026-08-06T07:36:59Z
23023,ドードーホルン,Carbuncle,Elemental,2790000,22625000.0,300000000,224,224,0.3,2026-08-06T07:36:59Z
49310,コートリーラヴァー・キャスターイヤリング,Carbuncle,Elemental,100313,226994.2,300326,14,14,0.7,2026-08-06T07:36:59Z
36086,パームシロップ,Carbuncle,Elemental,120,120.0,120,9900,100,49.3,2026-08-06T07:36:59Z
35058,クラシカルサジタリウス・ロインクロス,Carbuncle,Elemental,8000,21429.5,28000,12,12,0.1,2026-08-06T07:36:59Z
5059,コバルトインゴット,Carbuncle,Elemental,600,728.2,1500,4284,51,42.9,2026-08-06T07:36:59Z
5718,戦技のマテリジャ,Carbuncle,Elemental,115,1772.0,27000,55,19,1.3,2026-08-06T07:36:59Z
5558,プリンの肉,Carbuncle,Elemental,355,435.1,650,352,9,38.1,2026-08-06T07:36:59Z
47197,ピーコック・クラフターリング,Carbuncle,Elemental,200326,476269.5,1897000,21,21,0.7,2026-08-06T07:36:59Z
50057,属性添加用合成樹脂,Carbuncle,Elemental,63500,102451.7,800000,25,21,0.7,2026-08-06T07:36:59Z
46022,セレモニアル・トルクエタム,Carbuncle,Elemental,30709,5015354.5,10000000,2,2,0.0,2026-08-06T07:36:59Z
35073,クラシカルシグニフェル・キュロット,Carbuncle,Elemental,20000,25022852.0,100000715,4,4,0.4,2026-08-06T07:36:59Z
48161,ホワイトレースパラソル,Carbuncle,Elemental,170000,521592.6,1350000,27,27,0.1,2026-08-06T07:36:59Z
47193,ピーコック・ギャザラーブーツ,Carbuncle,Elemental,270429,785944.6,2100000,13,13,0.7,2026-08-06T07:36:59Z
27968,高地天然水,Carbuncle,Elemental,150,280.6,399,2241,27,8.4,2026-08-06T07:36:59Z
49274,コートリーラヴァー・ディフェンダーブリーチ,Carbuncle,Elemental,178532,180060.6,194000,13,13,0.7,2026-08-06T07:36:59Z
44011,ホワイトゴールドインゴット,Carbuncle,Elemental,200,1101.0,3012,196,42,2.0,2026-08-06T07:36:59Z
15858,ヴォイドマンドレイク,Carbuncle,Elemental,1198,1381.0,2002,2245,37,28.9,2026-08-06T07:36:59Z
29680,マホガニーアキダクト,Carbuncle,Elemental,5990,23325.5,34000,28,28,0.3,2026-08-06T07:36:59Z
44004,ピンクベリル原石,Carbuncle,Elemental,4,379.7,10000,1697,36,13.7,2026-08-06T07:36:59Z
44873,ウッドファイアオーブン,Carbuncle,Elemental,590,2410.0,10000,25,25,0.7,2026-08-06T07:36:59Z
27831,ピクシーアップル,Carbuncle,Elemental,300,325.0,500,636,8,1.1,2026-08-06T07:36:59Z
10097,ヤフェームの野草,Carbuncle,Elemental,45,945.5,10000,54,12,0.0,2026-08-06T07:36:59Z
2000,エルムケーン,Carbuncle,Elemental,2000,5333.3,9000,3,3,0.0,2026-08-06T07:36:59Z
43556,古ぼけた地図G16,Carbuncle,Elemental,7900,10355267.0,999999999,97,97,0.7,2026-08-06T07:36:59Z
20531,タビスズメ,Carbuncle,Elemental,60,45910996.0,999999999,22,22,0.1,2026-08-06T07:36:59Z
27698,霊青岩,Carbuncle,Elemental,99,245.1,600,1241,24,13.0,2026-08-06T07:36:59Z
33116,オーケストリオン譜:Don't be Afraid,Carbuncle,Elemental,150000,62935260.0,999999999,16,16,0.1,2026-08-06T07:36:59Z
40390,マジックキッズベッド,Carbuncle,Elemental,6450000,6587500.0,6800000,36,36,0.3,2026-08-06T07:36:59Z
52288,スコップ,Carbuncle,Elemental,2399500,2920000.0,5000000,50,50,0.4,2026-08-06T07:36:59Z
46083,セレモニアル・アタッカーリング,Carbuncle,Elemental,39996,4215999.0,10000000,5,5,0.7,2026-08-06T07:36:59Z
13758,タガヤサン角材,Carbuncle,Elemental,9800,21600.0,80000,16,6,0.1,2026-08-06T07:36:59Z
50442,コスモ・アームドウェポン認証鍵,Carbuncle,Elemental,489748,800192.6,2980000,22,22,0.7,2026-08-06T07:36:59Z
49834,クレセントマギ・ソーサラーリング,Carbuncle,Elemental,480000,2210266.0,12999999,25,25,0.7,2026-08-06T07:36:59Z
50055,属性添加用部材,Carbuncle,Elemental,58490,66318.6,90000,20,19,0.7,2026-08-06T07:36:59Z
51266,エバーキープ・キッチンカウンター,Carbuncle,Elemental,86800,94433.1,100000,15,15,0.7,2026-08-06T07:36:59Z
35577,ペンダントウォールライト,Carbuncle,Elemental,39999,70864.0,100000,29,29,0.7,2026-08-06T07:36:59Z
44028,帯雷繭,Carbuncle,Elemental,262,543.4,3002,799,25,10.0,2026-08-06T07:36:59Z
48113,白銀地袋,Carbuncle,Elemental,1500,7601.7,49000,11,11,0.7,2026-08-06T07:36:59Z
2792,ミスリルサークレット(ジルコン),Carbuncle,Elemental,19041,23520.5,28000,2,2,0.0,2026-08-06T07:36:59Z
49280,コートリーラヴァー・スレイヤーブーツ,Carbuncle,Elemental,150165,152552.2,170429,17,17,0.7,2026-08-06T07:36:59Z
28859,レプリカ・スカイラット・レンジャーハーネス,Carbuncle,Elemental,1000,1000.5,1001,2,2,0.0,2026-08-06T07:36:59Z
5674,雄略のマテリア,Carbuncle,Elemental,1500,5509.9,10000,168,15,1.0,2026-08-06T07:36:59Z
12567,グリフィンレザー,Carbuncle,Elemental,290,1022.3,2492,7,6,0.0,2026-08-06T07:36:59Z
8165,カラッカの野菜,Carbuncle,Elemental,290,182215.8,2000000,515,11,57.3,2026-08-06T07:36:59Z
36229,活力の幻水G5,Carbuncle,Elemental,3000,6357.1,14500,46,7,1.3,2026-08-06T07:36:59Z
52256,カララント:アディショナルカラー2,Carbuncle,Elemental,24500,34147.2,130991,59,21,0.9,2026-08-06T07:36:59Z
18387,タイガー・スカウトリストグローブ,Carbuncle,Elemental,63155,65577.5,68000,2,2,0.0,2026-08-06T07:36:59Z
10526,ミスリルスターグローブ,Carbuncle,Elemental,7000,7000.0,7000,1,1,0.0,2026-08-06T07:36:59Z
41110,ウォールキャビネット,Carbuncle,Elemental,9000,15110.0,30000,19,19,0.7,2026-08-06T07:36:59Z
19877,ガガナの卵,Carbuncle,Elemental,44,178.4,800,270,33,17.7,2026-08-06T07:36:59Z
44151,プルスサウルスレザー,Carbuncle,Elemental,100,4037.9,61000,131,56,1.6,2026-08-06T07:36:59Z
49835,クレセントマギ・マスターソーサラーリング,Carbuncle,Elemental,22701,40165944.0,999999999,40,40,0.7,2026-08-06T07:36:59Z
51952,トゥール・チュニック,Carbuncle,Elemental,190000,219600.6,248000,5,5,0.7,2026-08-06T07:36:59Z
12658,ダスクレザー,Carbuncle,Elemental,298000,455333.0,1000000,9,9,0.9,2026-08-06T07:36:59Z
49315,コートリーラヴァー・キャスターチョーカー,Carbuncle,Elemental,69952,191044.4,297000,15,15,0.7,2026-08-06T07:36:59Z
49235,眼力の宝薬G4,Carbuncle,Elemental,800,3003.5,5100,1326,20,70.7,2026-08-06T07:36:59Z
46073,セレモニアル・アタッカーネックレス,Carbuncle,Elemental,17000,1458685.8,10000000,7,7,0.1,2026-08-06T07:36:59Z
18,ライトニングクラスター,Carbuncle,Elemental,20,2187.0,100010,389512,47,1971.3,2026-08-06T07:36:59Z
46078,セレモニアル・アタッカーバングル,Carbuncle,Elemental,27196,1454897.8,10000000,7,7,0.4,2026-08-06T07:36:59Z
34592,アイアンウッド・レンジャーチョーカー,Carbuncle,Elemental,0,0.0,0,0,0,0.0,2026-08-06T07:36:59Z
48214,オーケストリオン譜:決行～姫をさがして～,Carbuncle,Elemental,1400,12473.0,200000,29,29,0.1,2026-08-06T07:36:59Z
23836,羅刹腕輪【武士】,Carbuncle,Elemental,4000,4000.0,4000,1,1,0.1,2026-08-06T07:36:59Z
21052,フライング・チェアー,Carbuncle,Elemental,25000,40152.0,150000,22,22,0.7,2026-08-06T07:36:59Z
