アイテムID,日本語アイテム名,ワールド名,データセンター名,最終更新日時,全体最安値(Gil),NQ最安値(Gil),HQ最安値(Gil),全期間平均(Gil),NQ全期間平均(Gil),HQ全期間平均(Gil),最新平均(Gil),NQ最新平均(Gil),HQ最新平均(Gil),全体最高値(Gil),NQ最高値(Gil),HQ最高値(Gil),現在在庫数(個),出品数(件),累計販売数(個),直近履歴数(件),全体販売速度(個/日),NQ販売速度(個/日),HQ販売速度(個/日)
3870,オークパッテン,Carbuncle,Elemental,2026-08-06T07:36:59Z,10000,10000,18800,15396.0,0.0,15396.0,15933.3,10000.0,18900.0,19000,10000,19000,3,3,5,5,0.0,0.0,0.0
33285,モーグリビューロー,Carbuncle,Elemental,2026-08-06T07:36:59Z,350,350,0,532.0,532.0,0.0,1670.0,1670.0,0.0,4500,4500,0,12,12,5,5,0.0,0.0,0.0
4812,ピクシープラム,Carbuncle,Elemental,2026-08-06T07:36:59Z,240,240,0,360.0,360.0,0.0,245.0,245.0,0.0,250,250,0,2,2,94,5,0.0,0.0,0.0
5174,ラピスラズリ,Carbuncle,Elemental,2026-08-06T07:36:59Z,80,80,92,98.0,99.0,97.8,268.4,85.0,299.0,1000,90,1000,62,14,32,5,0.0,0.0,0.0
52289,アンティーク・ランタン,Carbuncle,Elemental,2026-08-06T07:36:59Z,1380000,1380000,0,1086800.0,1086800.0,0.0,2782356.2,2782356.2,0.0,12000000,12000000,0,154,154,5,5,0.7,0.7,0.0
45972,コチニール染料,Carbuncle,Elemental,2026-08-06T07:36:59Z,1700,1700,0,916.0,916.0,0.0,9426.5,9426.5,0.0,100005,100005,0,662,13,131,5,18.7,18.7,0.0
13708,カララント:パステルピンク,Carbuncle,Elemental,2026-08-06T07:36:59Z,20000,20000,0,25960.2,25960.2,0.0,35413.8,35413.8,0.0,60000,60000,0,128,100,6,5,0.9,0.9,0.0
52264,クワイエット・コリブリ・ホイッスル,Carbuncle,Elemental,2026-08-06T07:36:59Z,1995000,1995000,0,1832200.0,1832200.0,0.0,4650357.0,4650357.0,0.0,25000000,25000000,0,182,182,5,5,0.7,0.7,0.0
5545,トリリウム,Carbuncle,Elemental,2026-08-06T07:36:59Z,380,380,0,250.0,250.0,0.0,443.3,443.3,0.0,500,500,0,49,3,20,5,0.0,0.0,0.0
36249,サイガレザー,Carbuncle,Elemental,2026-08-06T07:36:59Z,800,800,1400,1289.8,1225.0,1333.0,60229.1,84482.9,2019.8,500000,500000,2500,269,17,21,5,3.0,0.3,2.7
37786,リナシータ・スカウトサバトン,Carbuncle,Elemental,2026-08-06T07:36:59Z,0,0,0,11285.8,0.0,11285.8,0.0,0.0,0.0,0,0,0,0,0,5,5,0.0,0.0,0.0
39494,クリュソマロスホルン,Carbuncle,Elemental,2026-08-06T07:36:59Z,0,0,0,47000000.0,47000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0.0,0.0,0.0
46068,セレモニアル・アタッカーイヤリング,Carbuncle,Elemental,2026-08-06T07:36:59Z,20000,20000,30000,17250.4,15633.3,19676.0,1688000.0,2019600.0,30000.0,10000000,10000000,30000,6,6,5,5,0.1,0.1,0.0
48096,フォーチュンカロット,Carbuncle,Elemental,2026-08-06T07:36:59Z,3009000,3009000,0,3000199.0,3000199.0,0.0,5093541.0,5093541.0,0.0,100000004,100000004,0,90,79,5,5,0.7,0.7,0.0
49275,コートリーラヴァー・ディフェンダーブーツ,Carbuncle,Elemental,2026-08-06T07:36:59Z,320427,0,320427,225057.2,0.0,225057.2,330284.7,0.0,330284.7,350000,0,350000,3,3,5,5,0.7,0.0,0.7
5359,チョコボの羽根,Carbuncle,Elemental,2026-08-06T07:36:59Z,230,230,0,256.2,256.2,0.0,167000080.0,167000080.0,0.0,499999999,499999999,0,16,3,81,5,0.0,0.0,0.0
44045,眼力の宝水,Carbuncle,Elemental,2026-08-06T07:36:59Z,1000,1000,1499,1772.8,1772.8,0.0,2559.4,2084.1,3290.6,5036,3032,5036,216,33,11,5,1.6,1.6,0.0
49831,クレセントマギ・ソーサラーイヤリング,Carbuncle,Elemental,2026-08-06T07:36:59Z,14500000,14500000,0,14280000.0,14280000.0,0.0,31743334.0,31743334.0,0.0,100000000,100000000,0,6,6,5,5,0.7,0.7,0.0
49305,コートリーラヴァー・キャスターシューズ,Carbuncle,Elemental,2026-08-06T07:36:59Z,180409,0,180409,145736.6,0.0,145736.6,200944.8,0.0,200944.8,369000,0,369000,13,13,5,5,0.7,0.0,0.7
51282,翼竜の化石標本,Carbuncle,Elemental,2026-08-06T07:36:59Z,99,99,0,71.8,71.8,0.0,104171.5,104171.5,0.0,1800000,1800000,0,36,36,5,5,0.7,0.7,0.0
36611,古ぼけた地図G13,Carbuncle,Elemental,2026-08-06T07:36:59Z,29800,29800,0,22300.0,22300.0,0.0,80613.8,80613.8,0.0,100000,100000,0,16,16,5,5,0.7,0.7,0.0
51957,トルナ・チュニック,Carbuncle,Elemental,2026-08-06T07:36:59Z,500000,500000,0,522000.6,522000.6,0.0,1027500.0,1027500.0,0.0,2300000,2300000,0,8,8,5,5,0.7,0.7,0.0
51257,エバーキープ・ラウンドソファ,Carbuncle,Elemental,2026-08-06T07:36:59Z,65998,65998,0,58979.6,58979.6,0.0,67565.7,67565.7,0.0,68000,68000,0,6,6,5,5,0.0,0.0,0.0
11,アースクリスタル,Carbuncle,Elemental,2026-08-06T07:36:59Z,30,30,0,30.0,30.0,0.0,30.0,30.0,0.0,30,30,0,294000,98,15000,5,2142.9,2142.9,0.0
