アイテムID,アイテム名,ワールド名,取引日時(JST),単価(Gil),数量,HQ,購入者名
52295,演技教本:後ろを振り返る,Belias,2026-08-06 16:45:18,1798000,1,NQ,Momo Touka
50971,包丁強化用グリップ材,Masamune,2026-08-06 16:42:19,27000,1,NQ,Yun Ru
46857,人造ダークマターγ,Hades,2026-08-06 16:40:27,80870,1,NQ,Aosagi April
52440,ヘアカタログ:ブレイドバン,Pandaemonium,2026-08-06 16:38:43,1100000,1,NQ,Hikari Cielo
52440,ヘアカタログ:ブレイドバン,Pandaemonium,2026-08-06 16:38:26,1100000,1,NQ,Pepe Rocino
52440,ヘアカタログ:ブレイドバン,Pandaemonium,2026-08-06 16:38:17,1100000,1,NQ,Arya Pearl
52440,ヘアカタログ:ブレイドバン,Pandaemonium,2026-08-06 16:38:11,1000000,1,NQ,Arya Pearl
46185,古ぼけた地図G18,Anima,2026-08-06 16:37:18,29900,1,NQ,Chalon Kuze
20675,ザザムシ,Chocobo,2026-08-06 16:36:29,98,99,NQ,Ruu Pan
42476,カザナル・ディフェンダーガントレット,Carbuncle,2026-08-06 16:36:27,30000,1,HQ,Dreamer Lufkin
5059,コバルトインゴット,Yojimbo,2026-08-06 16:36:24,693,1,HQ,Raen Highwind
49827,クレセントマギ・ファイターネックレス,Pandaemonium,2026-08-06 16:36:14,32499999,1,NQ,Chacha Ru
52440,ヘアカタログ:ブレイドバン,Pandaemonium,2026-08-06 16:35:58,1000000,1,NQ,Waltz Weller
13,ウォータークリスタル,Anima,2026-08-06 16:34:11,34,4680,NQ,Touma Kisaragi
49835,クレセントマギ・マスターソーサラーリング,Asura,2026-08-06 16:34:07,25000,1,NQ,Akine Hiiragi
50796,オーケストリオン譜:永久への耽溺,Pandaemonium,2026-08-06 16:33:32,17150,1,NQ,Lily La'lumiere
49321,コートリーラヴァー・ディフェンダーリング,Ramuh,2026-08-06 16:32:52,99997,1,HQ,Yuki Konko
49321,コートリーラヴァー・ディフェンダーリング,Ramuh,2026-08-06 16:32:51,99996,1,HQ,Yuki Konko
49306,コートリーラヴァー・ディフェンダーイヤリング,Ramuh,2026-08-06 16:32:36,99988,1,HQ,Yuki Konko
49275,コートリーラヴァー・ディフェンダーブーツ,Ramuh,2026-08-06 16:32:31,99996,1,HQ,Yuki Konko
49273,コートリーラヴァー・ディフェンダーガントレット,Ramuh,2026-08-06 16:32:18,99998,1,HQ,Yuki Konko
49272,コートリーラヴァー・ディフェンダーサーコート,Ramuh,2026-08-06 16:32:13,99994,1,HQ,Yuki Konko
49271,コートリーラヴァー・ディフェンダーヘアピン,Ramuh,2026-08-06 16:32:06,99996,1,HQ,Yuki Konko
50973,包丁研磨用オイル,Masamune,2026-08-06 16:31:50,29000,1,NQ,Love Nisama
50972,包丁強化用合金,Masamune,2026-08-06 16:31:47,12500,1,NQ,Love Nisama
50971,包丁強化用グリップ材,Masamune,2026-08-06 16:31:44,27000,1,NQ,Love Nisama
50973,包丁研磨用オイル,Pandaemonium,2026-08-06 16:31:03,29900,1,NQ,Min Feld
52256,カララント:アディショナルカラー2,Kujata,2026-08-06 16:30:59,18800,2,NQ,Azuki Kone
50971,包丁強化用グリップ材,Pandaemonium,2026-08-06 16:30:53,29000,1,NQ,Min Feld
49831,クレセントマギ・ソーサラーイヤリング,Ixion,2026-08-06 16:30:51,15000000,1,NQ,Asuka Pocari
52295,演技教本:後ろを振り返る,Anima,2026-08-06 16:30:46,1299990,1,NQ,Do-nguri Senq
50972,包丁強化用合金,Pandaemonium,2026-08-06 16:30:41,23500,1,NQ,Min Feld
