アイテムID,日本語アイテム名
2,ファイアシャード
3,アイスシャード
4,ウィンドシャード
5,アースシャード
6,ライトニングシャード
7,ウォーターシャード
8,ファイアクリスタル
9,アイスクリスタル
10,ウィンドクリスタル
11,アースクリスタル
12,ライトニングクリスタル
13,ウォータークリスタル
14,ファイアクラスター
15,アイスクラスター
16,ウィンドクラスター
17,アースクラスター
18,ライトニングクラスター
19,ウォータークラスター
1601,ウェザードショートソード
1602,バスタードソード
1603,ヴァイキングソード
1604,マクアフティル
1605,スパタ
1606,オールドバスタードソード
1607,ブラスバスタードソード
1609,ブラスヴァイキングソード
1611,カルネージソード
1613,オールドゴブリンシミター
1614,ショートソード
1616,オールドヴァイキングソード
1621,オールドゴブリンロングソード
1622,アイアンスパタ
1625,ブロードソード
1627,エルムマクアフティル
1633,スチールファルシオン
1635,ヴィンテージバスタードソード
1636,オールドアイオリアンシミター
1637,ウォルナットマクアフティル
1639,スチールロングソード
1642,ゴブリンシミター
1643,ミスリルブロードソード
1648,ヴィンテージヴァイキングソード
1649,ゴブリンロングソード
1650,コンドルマクアフティル
1657,カッツバルゲル
1659,シャムシール
1662,トールムーン・プライド
1663,ウィングレット
1666,ギガントガルロングソード
1670,アイオリアンシミター
1673,メイルブレーカー
1680,ウェザードホラ
1681,ホラ
1682,ヒマンテス
1683,ラムホーンクロー
1684,メタルナックル
1685,ハードレザーヒマンテス
1686,ブラスナックル
1688,セスタス
1694,スパイクナックル
1697,トードセスタス
1699,メタルクロー
1701,オールドホラ
1706,クラブホラ
1708,ボアヒマンテス
1711,ミスリルクロー
1716,トータスホラ
1723,コバルトナックル
1728,ペイストセスタス
1731,サイモン・ハニークロー
1732,ヴィンテージホラ
1733,コバルトクロー
1736,ギガントガルクロー
1740,ワイルドリングセスタス
1743,アベンジャー
1749,ウェザードウォーアクス
1750,ウォーアクス
1751,ラブリュス
1752,クラウドアクス
1753,スパイクドラブリュス
1754,アイアンウォーアクス
1756,アイアンラブリュス
1758,インフェルノアクス
1764,ビル
1766,サンダーストームアクス
1769,スパイクドスチールラブリュス
1771,オールドビル
1776,スチールバルディッシュ
1778,スチールブージ
1781,スパイクドミスリルラブリュス
1786,ミスリルブージ
1796,バッカニアバルディッシュ
1799,シボルド・リーチ
1800,ヴィンテージビル
1801,デミルーンブージ
1803,スパイクドコバルトラブリュス
1806,ギガントガルウォーアクス
1810,バーバリアンバルディッシュ
1813,ランページャー
1819,ウェザードスピア
1820,ハープーン
1821,スピア
1822,ラムホーンハープーン
1823,フェザーハープーン
1824,ブラススピア
1825,アイアンスピア
1827,ランス
1833,ギザルメ
1836,シルバーフォーク
1838,ハルバード
1840,オールドギザルメ
1845,スチールスピア
1847,スチールヘヴィランス
1850,ヤーゾンハープーン
1855,ミスリルランス
1862,コバルトハルバード
1867,トライデント
1870,ゲルバルド・レッドスパイク
1871,ヴィンテージギザルメ
1872,ハートギザルメ
1875,ギガントガルトライデント
1879,チャンピオンランス
1882,オベリスク
1889,ウェザードショートボウ
1891,ショートボウ
1892,ロングボウ
1893,ショートボウDX
1894,ラップドロングボウ
1895,アッシュショートボウ
1897,エルムロングボウ
1899,エルムベロシティボウ
1905,ラップド・エルムロングボウ
1908,コンポジットボウ
1910,オールドボウ
1915,アッシュキャバルリーボウ
1917,オークロングボウ
1920,ミスリルキャバルリーボウ
1925,オークコンポジットボウ
1932,コバルトクラッドボウ
1937,ユーロングボウ
1940,アレソンヌ・ソングボウ
1941,ヴィンテージボウ
1942,クラブボウ
1945,ギガントガルロングボウ
1949,ロングアーム・コンポジットボウ
1953,サルンガ
1958,ワンド
1959,ワンドDX
1960,バッデッドワンド
1961,アッシュワンド
1963,バッデッドアッシュワンド
1965,アッシュワンドDX
1967,ユーワンド
1969,バッデッドユーワンド
1971,バッデッドオークワンド
1974,アイスワンド
1976,アースワンド
1978,ウォーターワンド
1981,ファイアワンド
1983,ウィンドワンド
1985,サンダーワンド
1987,バッデッドローズワンド
1995,ウェザードケーン
1996,ケーン
1997,クルーク
1998,ラディカル
2000,エルムケーン
2002,エルムクルーク
2004,ユーラディカル
2010,パストラルユーケーン
2011,ユークルーク
2014,オールドケーン
2015,ウォルナットケーン
2021,クロウクルーク
2023,オークラディカル
2026,パストラルオークケーン
2030,リーヴドローズラディカル
2039,ジェイドクルーク
2041,ヴィンテージケーン
2043,ザプラン・テンペスト
2044,パストラルマホガニーケーン
2047,タネ・マフタ
2048,ギガントガルケーン
2049,マッドマンリビングロッド
2051,アルカルロプス
2055,ウェザードセプター
2056,ブランド
2057,セプター
2058,ブロンズセプター
2059,カジェル
2061,セプターDX
2063,ウィンドブランド
2066,アイスブランド
2068,オールドカジェル
2069,シルバーセプター
2071,アースブランド
2076,シルバーセプターDX
2078,ファイアブランド
2083,ライトニングブランド
2088,エレクトラムセプター
2093,ヴィンテージカジェル
2094,ウォーターブランド
2097,ジェイドセプター
2102,ブラッディセプター
2106,スタッフ
2107,ラムホーンスタッフ
2108,スタッフDX
2109,ラムホーンスタッフDX
2111,スタッグホーンスタッフ
2116,ブラッディホーンスタッフ
2118,スタッグホーンスタッフDX
2121,ゴートホーンスタッフ
2123,ゴートホーンスタッフDX
2125,ホーンスタッフ
2130,ブラックホーンスタッフ
2132,オブリエ・ウィスパー
2133,アイボリースタッフ
2136,ギガントガルロングスタッフ
2139,アストロラーベ
2142,ウェザードグリモア
2143,グリモア
2144,ピカトリクス
2145,グリモアDX
2146,アッシュピカトリクス
2147,ハードレザーグリモア
2149,ハードレザーグリモアDX
2151,ユーピカトリクス
2156,アルドゴートグリモア
2158,オールドピカトリクス
2160,アルドゴートグリモアDX
2166,ブック・オブ・シルバー
2169,ブック・オブ・シルバーDX
2174,ブック・オブ・ミスリル
2184,ヴィンテージピカトリクス
2185,ブック・オブ・エレクトラム
2189,ブック・オブ・エレクトラムDX
2193,マジカ・サベネア
2194,メディカ・サベネア
2201,エルダイトヒーラーピカトリクス
2202,エルダイトキャスターピカトリクス
2211,デウス・エクス・バービス
2212,デウス・エクス・グラティア
2219,エキュ
2220,カンパニーエスカッシャン
2224,オールドエキュ
2225,オールドホプロン
2226,ホプロン
2227,オールドバックラー
2228,ラウンドシールド
2229,タージェ
2230,スクトゥム
2231,バックラー
2232,オールドスクトゥム
2233,アッシュエキュ
2234,ワーデッドシールド
2235,ナイトプラウラータージェ
2236,アイアンホプロン
2237,オールドラウンドシールド
2238,ヴィンテージエキュ
2239,アイアンクラッドバックラー
2241,ランタンシールド
2242,アイアンスクトゥム
2244,ヴィンテージホプロン
2246,バイパーシールド
2248,アイアンカイトシールド
2250,アルドゴートタージェ
2257,ブルホプロン
2259,オールドカイトシールド
2260,デコレーテッドバックラー
2262,アイアンスクトゥムDX
2264,ヴィンテージバックラー
2268,ダブルブレードシールド
2270,ラプトルタージェ
2271,トールムーン・パーポス
2278,ヴィンテージスクトゥム
2279,コバルトスクトゥム
2287,イーグルシールド
2289,ヴィンテージラウンドシールド
2290,オブリエ・アレゴリー
2291,スコーピオンシールド
2294,カイトシールド
2296,コバルト・ダブルブレードシールド
2298,オックスブラッドタージェ
2300,ヴィンテージカイトシールド
2302,ダークスチールスクトゥム
2303,ダークスチールバックラー
2304,スプルースシールド
2314,ウェザードソー
2315,ソー
2316,アマチュアソー
2317,チョコボテイルソー
2318,イニシエートソー
2319,レリーフアイアンソー
2320,アイアン・チョコボテイルソー
2321,レリーフスチールソー
2322,クロスカットソー
2323,ミスリルソー
2324,ミスリル・チョコボテイルソー
2325,レリーフコバルトソー
2328,アマチュアクローハンマー
2329,クローハンマー
2330,リクルートクローハンマー
2331,アイアンクローハンマー
2332,イニシエートクローハンマー
2333,ノービスクローハンマー
2334,スチールクローハンマー
2335,ラップド・スチールクローハンマー
2336,アプレンティスクローハンマー
2337,ミスリルクローハンマー
2338,コバルトクローハンマー
2339,ミリシアクローハンマー
2340,ウェザード・クロスペインハンマー
2341,クロスペインハンマー
2342,アマチュア・クロスペインハンマー
2343,バードビークハンマー
2344,アイアン・クロスペインハンマー
2345,イニシエート・クロスペインハンマー
2346,クロウビークハンマー
2347,ヘヴィ・クロウビークハンマー
2348,スチール・クロスペインハンマー
2349,スチールビークハンマー
2350,ラップド・スチールビークハンマー
2351,コバルト・クロスペインハンマー
2352,ラップド・ホークビークハンマー
2355,アマチュアファイル
2356,ファイル
2357,リクルートファイル
2358,アイアンファイル
2359,イニシエートファイル
2360,ノービスファイル
2361,スチールファイル
2362,アプレンティスファイル
2363,ミスリルファイル
2364,コバルトファイル
