アイテムID,日本語アイテム名,カテゴリ名,プール登録日時
2,ファイアシャード,一般,2026-08-07T04:26:17Z
8,ファイアクリスタル,一般,2026-08-07T04:26:17Z
9,アイスクリスタル,一般,2026-08-07T04:26:17Z
10,ウィンドクリスタル,一般,2026-08-07T04:26:17Z
3201,レインメイカーチュニック,一般,2026-08-07T04:26:17Z
3203,コバルトホーバージョン,一般,2026-08-07T04:26:17Z
3503,ヴァンヤヒーラーブリーチ,一般,2026-08-07T04:26:17Z
4746,グレープジュース,一般,2026-08-07T04:26:17Z
4784,ハイランドパセリ,一般,2026-08-07T04:26:17Z
4937,アバラシアスメルト,一般,2026-08-07T04:26:17Z
4967,ユグラムサーモン,一般,2026-08-07T04:26:17Z
4986,クリムゾントラウト,一般,2026-08-07T04:26:17Z
5037,デューンマンタ,一般,2026-08-07T04:26:17Z
5075,ダークスチールプレート,一般,2026-08-07T04:26:17Z
5365,バンブー材,一般,2026-08-07T04:26:17Z
5372,パイン材,一般,2026-08-07T04:26:17Z
5384,シーダー原木,一般,2026-08-07T04:26:17Z
5391,マホガニー原木,一般,2026-08-07T04:26:17Z
5403,シーダーの枝,一般,2026-08-07T04:26:17Z
5530,コークス,一般,2026-08-07T04:26:17Z
6150,クァールの肉,一般,2026-08-07T04:26:17Z
6574,シュラウド・ピラー,一般,2026-08-07T04:26:17Z
6667,シルフウォールランタン,一般,2026-08-07T04:26:17Z
7115,モグル・モグポスト,一般,2026-08-07T04:26:17Z
7484,ヘヴィウォルフラムサバトン,一般,2026-08-07T04:26:17Z
7546,ライトスチールガレルース,一般,2026-08-07T04:26:17Z
7579,苔むした石剣,一般,2026-08-07T04:26:17Z
7598,アブダルラジクの霊砂,一般,2026-08-07T04:26:17Z
7807,テルミヌスパテ,一般,2026-08-07T04:26:17Z
7970,ウォールプランター,一般,2026-08-07T04:26:17Z
8547,クァールビーチマロ,一般,2026-08-07T04:26:17Z
9376,アラグの魔触媒,一般,2026-08-07T04:26:17Z
9514,上質な羊皮紙,一般,2026-08-07T04:26:17Z
9515,上質な定着剤,一般,2026-08-07T04:26:17Z
10725,アダマンスレイヤーコート,一般,2026-08-07T04:26:17Z
10756,チタンストライカーマスク,一般,2026-08-07T04:26:17Z
10840,チタンスカウトマスク,一般,2026-08-07T04:26:17Z
10854,ダルメル・スカウトアームガード,一般,2026-08-07T04:26:17Z
10909,ホーリーレインボー・ヒーラーサルエル,一般,2026-08-07T04:26:17Z
10966,ラミーリボン・オブ・ディフェンス,一般,2026-08-07T04:26:17Z
11001,ミスライトアタッカーピアス,一般,2026-08-07T04:26:17Z
12582,ハロードチェスナット材,一般,2026-08-07T04:26:17Z
12606,アストラルオイル,一般,2026-08-07T04:26:17Z
12644,オーラムレギスシリンダー,一般,2026-08-07T04:26:17Z
12711,ブルートリーチ,一般,2026-08-07T04:26:17Z
13114,カララント:ピュアホワイト,一般,2026-08-07T04:26:17Z
13716,カララント:ダークパープル,一般,2026-08-07T04:26:17Z
13757,ドマグラスの苗,一般,2026-08-07T04:26:17Z
13758,タガヤサン角材,一般,2026-08-07T04:26:17Z
13829,レプリカ・アラガンキャスターサークレット,一般,2026-08-07T04:26:17Z
15817,オーケストリオン譜:詫言の詩,一般,2026-08-07T04:26:17Z
16648,ヘヴィアロイ・スレイヤーキュイラス,一般,2026-08-07T04:26:17Z
16706,シンチレーターインゴット,一般,2026-08-07T04:26:17Z
17053,チェリーブロッサム:パープル,一般,2026-08-07T04:26:17Z
17861,オーケストリオン譜:潮風の集う街,一般,2026-08-07T04:26:17Z
19019,トゥルーグリフィン・ヒーラーサンダル,一般,2026-08-07T04:26:17Z
19869,パーシモン,一般,2026-08-07T04:26:17Z
19925,ビーチ材,一般,2026-08-07T04:26:17Z
19928,ゼルコバ材,一般,2026-08-07T04:26:17Z
19930,ビーチ原木,一般,2026-08-07T04:26:17Z
19973,ロードナイト原石,一般,2026-08-07T04:26:17Z
20273,ナグサなめし革,一般,2026-08-07T04:26:17Z
20705,白銀南風火見櫓,一般,2026-08-07T04:26:17Z
20714,白銀南風塀,一般,2026-08-07T04:26:17Z
21697,ナイトスチールバトルアクス,一般,2026-08-07T04:26:17Z
21823,アルファのぬいぐるみ,一般,2026-08-07T04:26:17Z
21937,アドベンチャラーセーター,一般,2026-08-07T04:26:17Z
23357,パゴスグローブ,一般,2026-08-07T04:26:17Z
23376,クウェインチュレルレザー,一般,2026-08-07T04:26:17Z
23791,羅刹袈裟【槍士】,一般,2026-08-07T04:26:17Z
23892,グリーンパーティション,一般,2026-08-07T04:26:17Z
24285,レイムプリクスダイス,一般,2026-08-07T04:26:17Z
24511,ウッドロフト,一般,2026-08-07T04:26:17Z
24804,撥水綿布,一般,2026-08-07T04:26:17Z
25001,演技教本:ガッツポーズ,一般,2026-08-07T04:26:17Z
25044,エッジ・オブ・デモン,一般,2026-08-07T04:26:17Z
25959,ブルースピリットコーデックス,一般,2026-08-07T04:26:17Z
26453,ミーン・スレイヤーメイル,一般,2026-08-07T04:26:17Z
26492,ミーン・キャスターイヤリング,一般,2026-08-07T04:26:17Z
27189,オヴィムギャザラーガスキン,一般,2026-08-07T04:26:17Z
27277,グローサリーバッグ,一般,2026-08-07T04:26:17Z
27358,ハイスチールチャクラム,一般,2026-08-07T04:26:17Z
27699,魔銀砂,一般,2026-08-07T04:26:17Z
27700,賢銅砂,一般,2026-08-07T04:26:17Z
27716,タングステンスチールインゴット,一般,2026-08-07T04:26:17Z
27721,ダイアスポア,一般,2026-08-07T04:26:17Z
27722,ラズライト,一般,2026-08-07T04:26:17Z
27754,山羊毛布,一般,2026-08-07T04:26:17Z
27775,植物性にかわ,一般,2026-08-07T04:26:17Z
27778,グロースフォーミュラ・カッパ,一般,2026-08-07T04:26:17Z
27867,ローストオヴィム,一般,2026-08-07T04:26:17Z
27938,グラスレザー・フードベスト,一般,2026-08-07T04:26:17Z
28139,イミテーション・ロングウィンドウ,一般,2026-08-07T04:26:17Z
28588,アーバンコート,一般,2026-08-07T04:26:17Z
28622,ホワイト・ミニナイト,一般,2026-08-07T04:26:17Z
28831,レプリカ・スカイパイレーツ・スカウトトラウザー,一般,2026-08-07T04:26:17Z
29429,ネオイシュガルディアン・スレイヤートップス,一般,2026-08-07T04:26:17Z
29442,ネオイシュガルディアン・レンジャーグローブ,一般,2026-08-07T04:26:17Z
29459,ネオイシュガルディアン・キャスタートップス,一般,2026-08-07T04:26:17Z
30408,ウッドフットブリッジ,一般,2026-08-07T04:26:17Z
31320,翠辰砂,一般,2026-08-07T04:26:17Z
31875,エクサーク・レンジャーイヤリング,一般,2026-08-07T04:26:17Z
31901,スモークチキン,一般,2026-08-07T04:26:17Z
32249,スクウェアペイヴド・ブリック,一般,2026-08-07T04:26:17Z
32250,ラノシアン・グレープパーゴラ,一般,2026-08-07T04:26:17Z
32251,プランターファウンテン,一般,2026-08-07T04:26:17Z
32953,蒼綿花,一般,2026-08-07T04:26:17Z
32955,超硬水,一般,2026-08-07T04:26:17Z
33039,パストーラルドットパラソル,一般,2026-08-07T04:26:17Z
33273,チェッククロス・ダイニングセット,一般,2026-08-07T04:26:17Z
33275,アイスボックス,一般,2026-08-07T04:26:17Z
33276,ブリックカウンター,一般,2026-08-07T04:26:17Z
33693,魔導プレデター追従型,一般,2026-08-07T04:26:17Z
33917,信力のオメガマテリジャ,一般,2026-08-07T04:26:17Z
35033,クラシカル・サムライブレード,一般,2026-08-07T04:26:17Z
35080,クラシカル・ディフェンダーチョーカー,一般,2026-08-07T04:26:17Z
35410,黒麻旅衣,一般,2026-08-07T04:26:17Z
35813,カフェ・ハウスウォール,一般,2026-08-07T04:26:17Z
35994,トリテレイアイヤリング:グリーン,一般,2026-08-07T04:26:17Z
36108,心力の幻薬G5,一般,2026-08-07T04:26:17Z
36175,白目鉱,一般,2026-08-07T04:26:17Z
36180,緑色片岩,一般,2026-08-07T04:26:17Z
36248,マウンテンレザー,一般,2026-08-07T04:26:17Z
36260,ペタルダの鱗粉,一般,2026-08-07T04:26:17Z
36611,古ぼけた地図G13,一般,2026-08-07T04:26:17Z
37365,複製サレタ柱,一般,2026-08-07T04:26:17Z
37769,リナシータ・スレイヤーヴァンブレイス,一般,2026-08-07T04:26:17Z
37786,リナシータ・スカウトサバトン,一般,2026-08-07T04:26:17Z
37805,リナシータ・ヒーラーネックレス,一般,2026-08-07T04:26:17Z
37829,白花葛布,一般,2026-08-07T04:26:17Z
37830,ルチルクォーツ,一般,2026-08-07T04:26:17Z
37833,イルメナイトインゴット,一般,2026-08-07T04:26:17Z
38576,イミテーション・サークルステンドクリスタル,一般,2026-08-07T04:26:17Z
