データセンター(DC),直近順位,アイテムID,日本語アイテム名,取得日時(JST)
Elemental,1,39389,アラガンターミナル Type:β,2026-08-07 13:40:27
Elemental,2,49835,クレセントマギ・マスターソーサラーリング,2026-08-07 13:40:27
Elemental,3,15922,ムーンファイアベスト,2026-08-07 13:40:27
Elemental,4,49311,コートリーラヴァー・ディフェンダーチョーカー,2026-08-07 13:40:27
Elemental,5,19939,ハイスチールナゲット,2026-08-07 13:40:27
Elemental,6,5504,魚にかわ,2026-08-07 13:40:27
Elemental,7,7040,ベラフディアンガラス,2026-08-07 13:40:27
Elemental,8,44120,ヴァーティカル・ネオンウォールライト,2026-08-07 13:40:27
Elemental,9,36414,ラヴィリンソス・ティラピア,2026-08-07 13:40:27
Elemental,10,28964,モーグリチェア,2026-08-07 13:40:27
Elemental,11,19957,輝水鉛鉱,2026-08-07 13:40:27
Elemental,12,52278,ピューニィメイジ,2026-08-07 13:40:27
Elemental,13,50302,コスモパワードスーツ,2026-08-07 13:40:27
Elemental,14,37755,リナシータ・サムライブレード,2026-08-07 13:40:27
Elemental,15,44035,黄金の霊砂,2026-08-07 13:40:27
Elemental,16,36243,マウンテンチキンの粗皮,2026-08-07 13:40:27
Elemental,17,15926,ムーンファイアタンガ,2026-08-07 13:40:27
Elemental,18,52295,演技教本:後ろを振り返る,2026-08-07 13:40:27
Elemental,19,8166,サベネアの野菜,2026-08-07 13:40:27
Elemental,20,12880,ハイランド小麦,2026-08-07 13:40:27
Elemental,21,44032,ロネークサージ,2026-08-07 13:40:27
Elemental,22,49303,コートリーラヴァー・キャスターグローブ,2026-08-07 13:40:27
Elemental,23,1996,ケーン,2026-08-07 13:40:27
Elemental,24,14295,古びた譜面:白銀の凶鳥、飛翔せり,2026-08-07 13:40:27
Elemental,25,33124,オーケストリオン譜:合わないピース,2026-08-07 13:40:27
Elemental,26,13001,シバルリー・ヒーラーダブレット,2026-08-07 13:40:27
Elemental,27,23356,パゴスボレロ,2026-08-07 13:40:27
Elemental,28,12243,古ぼけた地図G8,2026-08-07 13:40:27
Elemental,29,36172,コンドライトインゴット,2026-08-07 13:40:27
Elemental,30,44329,古びた譜面:レゾンデートル,2026-08-07 13:40:27
Elemental,31,9359,プラチナナゲット,2026-08-07 13:40:27
Elemental,32,35026,クラシカル・グレートソード,2026-08-07 13:40:27
Elemental,33,42145,コバルトタングステン・ナックル,2026-08-07 13:40:27
Elemental,34,3260,ヴァンヤキャスターローブ,2026-08-07 13:40:27
Elemental,35,52289,アンティーク・ランタン,2026-08-07 13:40:27
Elemental,36,34240,マウンテンチキングリモア,2026-08-07 13:40:27
Elemental,37,46188,ゴールデンイール,2026-08-07 13:40:27
Elemental,38,33918,天眼のオメガマテリジャ,2026-08-07 13:40:27
Elemental,39,50435,コスモフェイス認証鍵,2026-08-07 13:40:27
Elemental,40,46852,ウトォーム隕鉄,2026-08-07 13:40:27
Elemental,41,28624,ドマキン,2026-08-07 13:40:27
Elemental,42,29682,ホワイトスクリーン,2026-08-07 13:40:27
Elemental,43,12576,ドラゴンの牙,2026-08-07 13:40:27
Elemental,44,49239,ナチョス,2026-08-07 13:40:27
Elemental,45,40625,クッキーアソート,2026-08-07 13:40:27
Elemental,46,5506,黒にかわ,2026-08-07 13:40:27
Elemental,47,47893,リックス・フィンガレスグローブ,2026-08-07 13:40:27
Elemental,48,4767,ラプトルのモモ肉,2026-08-07 13:40:27
Elemental,49,14149,イコンアロイインゴット,2026-08-07 13:40:27
Elemental,50,41407,ヒファロサウルス,2026-08-07 13:40:27
Elemental,51,41771,天眼のハイアルテマテリジャ,2026-08-07 13:40:27
Elemental,52,49310,コートリーラヴァー・キャスターイヤリング,2026-08-07 13:40:27
Elemental,53,8291,サファイアチョーカー,2026-08-07 13:40:27
Elemental,54,6347,ラノシアン・ウッドコテージ・ルーフ,2026-08-07 13:40:27
Elemental,55,49302,コートリーラヴァー・キャスターバトルドレス,2026-08-07 13:40:27
Elemental,56,42029,ハンマーヘッドダイル・レンジャーアームガード,2026-08-07 13:40:27
Elemental,57,6005,チョコチョコボ,2026-08-07 13:40:27
Elemental,58,14869,ウラエウスコート,2026-08-07 13:40:27
Elemental,59,32943,心力の幻水G4,2026-08-07 13:40:27
Elemental,60,51262,エバーキープ・モニター,2026-08-07 13:40:27
Elemental,61,49277,コートリーラヴァー・スレイヤーサーコート,2026-08-07 13:40:27
Elemental,62,27285,クリスタリウムキッチンハンガー,2026-08-07 13:40:27
Elemental,63,15439,マジックバケツ,2026-08-07 13:40:27
Elemental,64,5371,ウォルナット材,2026-08-07 13:40:27
Elemental,65,46136,オーケストリオン譜:リメンバランス,2026-08-07 13:40:27
Elemental,66,33118,オーケストリオン譜:消せない約束,2026-08-07 13:40:27
Elemental,67,20310,イミテーション・オブロングウィンドウ,2026-08-07 13:40:27
Elemental,68,52440,ヘアカタログ:ブレイドバン,2026-08-07 13:40:27
Elemental,69,35582,イル・メグ・ガーデンファウンテン,2026-08-07 13:40:27
Elemental,70,48156,スタイルカタログ:グラデーションフレームグラス,2026-08-07 13:40:27
