日時,スコープ,アイテムID,アイテム名,1日平均販売数(個/日),最安値(Gil)
2026-08-05 00:06:55,Mana,29958,コバルトアロイインゴット,0.0,500
2026-08-05 00:06:55,Mana,30093,シマエナガ,0.0,2697
2026-08-05 00:06:55,Mana,8,ファイアクリスタル,0.0,36
2026-08-05 00:06:55,Mana,50291,Unknown (50291),0.0,300000
2026-08-05 00:06:55,Mana,5555,オチューのつる,0.0,31
2026-08-05 00:06:55,Mana,10373,魔導機械修理材,0.0,1600
2026-08-05 00:06:55,Mana,35027,クラシカル・ハンドゴンネ,0.0,4067
2026-08-05 00:06:55,Mana,21720,トゥルーリネン・スレイヤーブリーチ,0.0,5980
2026-08-05 00:06:55,Mana,20742,手持ち提灯,0.0,21999
2026-08-05 00:06:55,Mana,5116,鏡鉄鉱,0.0,158
